player1,player2,player3,player4,score1,score2,date
Sayantani Battacharya,James Zhong,Owen Henderschedt,Sean Grate,21,12,2024-10-18
Tim Eller,Sean Grate,John David Clifton,Tristan Salinas,21,0,2024-10-14
Daniel Hodgins,Owen Henderschedt,,,21,2,2024-11-04
Tim Eller,Kenny Powell,,,21,7,2024-10-16
Jared DeLeo,Sean Grate,,,21,13,2024-10-23
Tim Eller,Emma Snyder,Owen Henderschedt,Kenny Powell,21,10,2024-11-03
Tristan Salinas,Owen Henderschedt,,,21,0,2024-10-20
Sean Grate,James Zhong,,,21,16,2024-12-14
Jared DeLeo,Owen Henderschedt,John David Clifton,John Cobb,21,0,2024-11-27
Kenny Powell,Emma Snyder,,,21,13,2024-08-04
Sean Grate,Kenny Powell,,,21,17,2024-08-18
Jared DeLeo,Sean Grate,Emma Snyder,Seth Harward,21,4,2024-09-15
Owen Henderschedt,Emma Snyder,,,21,11,2024-11-13
Sayantani Battacharya,James Zhong,,,21,13,2024-08-28
Tristan Salinas,Sayantani Battacharya,,,21,18,2024-09-25
Sayantani Battacharya,John Sterling,,,21,9,2024-09-09
Jared DeLeo,Daniel Hodgins,,,21,8,2024-11-05
James Zhong,Daniel Hodgins,,,21,12,2024-09-15
Tristan Salinas,Jared DeLeo,,,21,17,2024-09-24
Emma Snyder,John David Clifton,,,21,3,2024-11-21
Jared DeLeo,Sean Grate,Tim Eller,Emma Snyder,21,5,2024-08-03
Tim Eller,John Cobb,Owen Henderschedt,John David Clifton,21,9,2024-10-22
Sayantani Battacharya,Kenny Powell,,,21,6,2024-12-28
Seth Harward,Sayantani Battacharya,,,21,10,2024-10-09
Jared DeLeo,John Sterling,Tristan Salinas,Daniel Hodgins,21,17,2024-11-06
Sean Grate,John David Clifton,,,21,18,2024-12-30
Tim Eller,Owen Henderschedt,James Zhong,John Cobb,21,18,2024-10-18
Kenny Powell,Owen Henderschedt,,,21,4,2024-09-08
Seth Harward,Kenny Powell,,,21,19,2024-08-12
Sayantani Battacharya,Owen Henderschedt,,,21,1,2024-10-11
James Zhong,John Sterling,,,21,2,2024-10-06
John Sterling,John Cobb,,,21,18,2024-12-16
John David Clifton,Jared DeLeo,,,21,11,2024-08-15
James Zhong,John Cobb,,,21,9,2024-12-07
Daniel Hodgins,John Sterling,,,21,2,2024-09-04
John Cobb,Kenny Powell,,,21,17,2024-12-04
Emma Snyder,Sean Grate,,,21,17,2024-08-22
Daniel Hodgins,Tristan Salinas,,,21,14,2024-10-25
Daniel Hodgins,John Sterling,,,21,6,2024-09-25
Sean Grate,John David Clifton,Kenny Powell,John Cobb,21,16,2024-11-20
Sean Grate,Daniel Hodgins,,,21,6,2024-12-22
Owen Henderschedt,Sayantani Battacharya,,,21,7,2024-08-27
Kenny Powell,Tristan Salinas,,,21,11,2024-08-14
John Sterling,Kenny Powell,Tristan Salinas,Sean Grate,21,13,2024-12-08
Jared DeLeo,Tim Eller,,,21,15,2024-10-27
Tristan Salinas,Kenny Powell,,,21,4,2024-09-17
Sayantani Battacharya,Emma Snyder,,,21,4,2024-11-21
Seth Harward,John David Clifton,,,21,7,2024-09-08
Emma Snyder,John Sterling,,,21,18,2024-11-26
John Cobb,Daniel Hodgins,,,21,20,2024-09-25
Tim Eller,Owen Henderschedt,John Sterling,Seth Harward,21,19,2024-08-26
Owen Henderschedt,Jared DeLeo,,,21,5,2024-10-19
Kenny Powell,Tristan Salinas,,,21,7,2024-10-08
Sean Grate,John Sterling,Jared DeLeo,James Zhong,21,7,2024-12-14
John Cobb,James Zhong,,,21,18,2024-12-30
Tim Eller,James Zhong,,,21,13,2024-10-13
John Cobb,John David Clifton,,,21,17,2024-12-05
Daniel Hodgins,Sean Grate,,,21,11,2024-10-02
Kenny Powell,Tristan Salinas,,,21,14,2024-10-14
Tristan Salinas,Emma Snyder,,,21,0,2024-11-05
Jared DeLeo,James Zhong,,,21,4,2024-09-07
Sayantani Battacharya,Tristan Salinas,,,21,9,2024-10-20
Tim Eller,Jared DeLeo,,,21,19,2024-08-05
Kenny Powell,Tim Eller,,,21,0,2024-09-15
Tristan Salinas,Tim Eller,,,21,11,2024-10-13
Tim Eller,Tristan Salinas,Owen Henderschedt,Sean Grate,21,20,2024-09-01
John David Clifton,Owen Henderschedt,James Zhong,Tim Eller,21,17,2024-08-29
Emma Snyder,Kenny Powell,Tristan Salinas,James Zhong,21,3,2024-12-06
Jared DeLeo,Sean Grate,,,21,17,2024-11-29
Tim Eller,Emma Snyder,,,21,16,2024-09-23
John Cobb,Tim Eller,,,21,2,2024-08-13
John Sterling,Daniel Hodgins,,,21,3,2024-12-06
Sean Grate,James Zhong,,,21,7,2024-12-22
Jared DeLeo,Kenny Powell,,,21,4,2024-10-05
Sayantani Battacharya,Daniel Hodgins,,,21,11,2024-10-06
Sayantani Battacharya,Tim Eller,,,21,1,2024-11-16
Kenny Powell,John Sterling,Owen Henderschedt,Emma Snyder,21,3,2024-10-19
Tim Eller,Owen Henderschedt,John Sterling,Kenny Powell,21,11,2024-11-05
Kenny Powell,Sayantani Battacharya,,,21,4,2024-08-03
Sayantani Battacharya,Jared DeLeo,,,21,9,2024-09-30
Seth Harward,Jared DeLeo,,,21,10,2024-12-17
James Zhong,Owen Henderschedt,John Sterling,Tristan Salinas,21,1,2024-11-04
John David Clifton,James Zhong,,,21,11,2024-11-08
Daniel Hodgins,Jared DeLeo,,,21,4,2024-09-20
John David Clifton,Tristan Salinas,,,21,20,2024-11-08
James Zhong,Owen Henderschedt,Tim Eller,John Sterling,21,15,2024-08-30
Emma Snyder,John Cobb,,,21,6,2024-08-02
Jared DeLeo,Seth Harward,,,21,5,2024-10-06
Daniel Hodgins,Tristan Salinas,James Zhong,Emma Snyder,21,19,2024-12-04
Owen Henderschedt,Tristan Salinas,Jared DeLeo,James Zhong,21,15,2024-08-25
Kenny Powell,Jared DeLeo,,,21,0,2024-11-02
John David Clifton,Sean Grate,,,21,12,2024-08-04
Daniel Hodgins,John Cobb,,,21,20,2024-09-03
Kenny Powell,Jared DeLeo,,,21,12,2024-12-10
Daniel Hodgins,John Sterling,,,21,13,2024-11-13
John David Clifton,Sean Grate,,,21,14,2024-12-08
James Zhong,Tim Eller,,,21,18,2024-09-05
Seth Harward,Tim Eller,,,21,20,2024-09-08
Sayantani Battacharya,Emma Snyder,,,21,14,2024-10-29
John Sterling,Emma Snyder,,,21,12,2024-10-07
Emma Snyder,John David Clifton,,,21,8,2024-10-20
Sean Grate,Daniel Hodgins,,,21,8,2024-09-15
John Sterling,Tristan Salinas,,,21,10,2024-12-26
Emma Snyder,John Cobb,John David Clifton,John Sterling,21,5,2024-10-22
Sayantani Battacharya,James Zhong,,,21,17,2024-11-13
John David Clifton,Seth Harward,,,21,11,2024-08-10
Jared DeLeo,Sean Grate,,,21,17,2024-09-14
Sean Grate,Seth Harward,,,21,8,2024-08-24
John Sterling,John Cobb,,,21,17,2024-09-30
Sean Grate,Emma Snyder,,,21,17,2024-09-08
Daniel Hodgins,Tristan Salinas,,,21,7,2024-11-01
Sayantani Battacharya,Owen Henderschedt,Tristan Salinas,Kenny Powell,21,15,2024-08-22
Tristan Salinas,John David Clifton,,,21,10,2024-08-16
John Cobb,Jared DeLeo,,,21,6,2024-09-23
John Cobb,Sayantani Battacharya,Owen Henderschedt,Seth Harward,21,20,2024-09-13
Sayantani Battacharya,Sean Grate,,,21,19,2024-10-23
Sayantani Battacharya,Seth Harward,,,21,6,2024-09-16
John Sterling,Seth Harward,,,21,16,2024-12-19
Sean Grate,Tim Eller,,,21,4,2024-11-26
John Sterling,Sean Grate,Tristan Salinas,Daniel Hodgins,21,5,2024-10-15
Tristan Salinas,Sayantani Battacharya,,,21,1,2024-09-01
John Sterling,Emma Snyder,,,21,16,2024-09-30
James Zhong,John Sterling,John David Clifton,Jared DeLeo,21,12,2024-10-23
Tristan Salinas,Emma Snyder,,,21,12,2024-09-12
John Sterling,Kenny Powell,Owen Henderschedt,James Zhong,21,10,2024-12-13
Seth Harward,Tristan Salinas,,,21,15,2024-11-20
John Sterling,Sayantani Battacharya,,,21,1,2024-11-02
Owen Henderschedt,Seth Harward,John David Clifton,Emma Snyder,21,16,2024-10-04
Emma Snyder,Sayantani Battacharya,,,21,10,2024-12-10
Seth Harward,Sayantani Battacharya,,,21,16,2024-12-03
John David Clifton,Tim Eller,,,21,4,2024-11-07
James Zhong,Sean Grate,,,21,17,2024-12-24
Tim Eller,Emma Snyder,,,21,4,2024-08-30
John Sterling,Sean Grate,,,21,19,2024-12-01
John Sterling,James Zhong,,,21,19,2024-10-17
Emma Snyder,James Zhong,Seth Harward,Sean Grate,21,15,2024-09-06
John Sterling,Kenny Powell,,,21,20,2024-09-22
Tim Eller,John David Clifton,John Sterling,Seth Harward,21,5,2024-08-03
Tristan Salinas,Emma Snyder,John Cobb,John David Clifton,21,8,2024-09-08
John Sterling,Daniel Hodgins,,,21,13,2024-08-18
Sayantani Battacharya,John Sterling,John Cobb,Kenny Powell,21,17,2024-08-18
Sean Grate,Tristan Salinas,,,21,20,2024-11-10
John Sterling,Sean Grate,,,21,17,2024-08-06
Daniel Hodgins,John David Clifton,,,21,10,2024-10-02
Emma Snyder,Kenny Powell,,,21,7,2024-11-15
Kenny Powell,John David Clifton,,,21,2,2024-12-10
Sean Grate,Daniel Hodgins,Jared DeLeo,Owen Henderschedt,21,7,2024-10-11
Emma Snyder,John Cobb,,,21,1,2024-10-22
John Sterling,Jared DeLeo,,,21,19,2024-11-28
John Sterling,Daniel Hodgins,,,21,4,2024-09-09
James Zhong,John Cobb,Seth Harward,Tristan Salinas,21,5,2024-11-01
Tim Eller,Owen Henderschedt,,,21,0,2024-09-18
John David Clifton,Owen Henderschedt,,,21,13,2024-09-24
Owen Henderschedt,John Cobb,,,21,3,2024-12-28
Sayantani Battacharya,Tristan Salinas,,,21,6,2024-09-29
Tim Eller,Emma Snyder,,,21,13,2024-11-07
Sean Grate,John David Clifton,,,21,14,2024-08-17
Owen Henderschedt,John Sterling,,,21,5,2024-12-13
Emma Snyder,John Sterling,,,21,16,2024-08-21
John Cobb,Tristan Salinas,,,21,9,2024-12-07
John Cobb,John Sterling,,,21,15,2024-08-26
Kenny Powell,John Sterling,,,21,14,2024-12-28
Jared DeLeo,Kenny Powell,,,21,15,2024-12-21
Tim Eller,Seth Harward,,,21,15,2024-09-18
Tim Eller,Daniel Hodgins,John David Clifton,Seth Harward,21,7,2024-08-28
Emma Snyder,Seth Harward,,,21,4,2024-09-05
John Sterling,John Cobb,Emma Snyder,Sean Grate,21,18,2024-11-24
Seth Harward,Owen Henderschedt,,,21,7,2024-12-12
John Sterling,John Cobb,Kenny Powell,John David Clifton,21,2,2024-10-26
Tristan Salinas,Owen Henderschedt,Daniel Hodgins,James Zhong,21,8,2024-12-20
James Zhong,John David Clifton,,,21,13,2024-11-08
Owen Henderschedt,Jared DeLeo,Kenny Powell,Tristan Salinas,21,0,2024-08-27
Daniel Hodgins,Kenny Powell,,,21,17,2024-11-26
John Sterling,Jared DeLeo,,,21,20,2024-08-26
Jared DeLeo,Tim Eller,John Sterling,Tristan Salinas,21,3,2024-08-10
John Sterling,John Cobb,Tristan Salinas,John David Clifton,21,12,2024-11-06
Sayantani Battacharya,Jared DeLeo,,,21,18,2024-11-04
Owen Henderschedt,Daniel Hodgins,Sayantani Battacharya,Kenny Powell,21,4,2024-08-07
Kenny Powell,Sayantani Battacharya,,,21,7,2024-10-12
James Zhong,Kenny Powell,,,21,15,2024-08-29
James Zhong,Emma Snyder,,,21,14,2024-08-15
Sayantani Battacharya,Jared DeLeo,,,21,3,2024-09-28
Tim Eller,John Cobb,,,21,16,2024-11-17
James Zhong,John Cobb,,,21,11,2024-08-16
John Cobb,Daniel Hodgins,,,21,19,2024-08-07
Sean Grate,Owen Henderschedt,,,21,5,2024-09-25
Owen Henderschedt,Kenny Powell,,,21,10,2024-12-19
Sayantani Battacharya,John Sterling,,,21,11,2024-10-10
Kenny Powell,Daniel Hodgins,,,21,4,2024-12-07
Tim Eller,John Sterling,,,21,1,2024-08-13
James Zhong,Kenny Powell,,,21,18,2024-08-12
John Sterling,Seth Harward,,,21,1,2024-09-03
Tim Eller,Emma Snyder,Kenny Powell,Jared DeLeo,21,3,2024-11-06
Seth Harward,John Sterling,Sayantani Battacharya,Owen Henderschedt,21,11,2024-09-11
Seth Harward,Emma Snyder,,,21,14,2024-09-28
Sean Grate,John David Clifton,,,21,7,2024-08-23
Jared DeLeo,Tim Eller,,,21,3,2024-12-14
James Zhong,Sayantani Battacharya,,,21,8,2024-08-21
Tim Eller,Emma Snyder,,,21,7,2024-11-18
Sean Grate,Tim Eller,,,21,1,2024-08-24
Seth Harward,Daniel Hodgins,Sean Grate,John Cobb,21,18,2024-12-05
John Sterling,Sean Grate,John Cobb,John David Clifton,21,11,2024-08-25
John Sterling,Kenny Powell,,,21,16,2024-10-09
Sean Grate,James Zhong,,,21,17,2024-09-10
Kenny Powell,James Zhong,,,21,14,2024-09-08
Tristan Salinas,John David Clifton,Owen Henderschedt,Sayantani Battacharya,21,7,2024-10-06
Tristan Salinas,Kenny Powell,,,21,17,2024-08-18
Owen Henderschedt,James Zhong,,,21,18,2024-11-28
Sayantani Battacharya,Seth Harward,,,21,8,2024-08-16
John David Clifton,James Zhong,,,21,6,2024-08-15
John Sterling,Tim Eller,,,21,4,2024-08-09
Sayantani Battacharya,Sean Grate,James Zhong,John David Clifton,21,9,2024-10-27
Seth Harward,Daniel Hodgins,Sayantani Battacharya,Tristan Salinas,21,11,2024-10-13
Jared DeLeo,John David Clifton,,,21,8,2024-10-24
Sayantani Battacharya,Sean Grate,,,21,9,2024-09-10
Tim Eller,James Zhong,,,21,12,2024-09-08
Kenny Powell,Jared DeLeo,,,21,11,2024-09-10
Kenny Powell,John Cobb,Owen Henderschedt,Seth Harward,21,16,2024-11-20
John Cobb,Tristan Salinas,,,21,18,2024-11-13
Sean Grate,Tristan Salinas,,,21,19,2024-09-23
Sayantani Battacharya,Kenny Powell,Daniel Hodgins,Seth Harward,21,20,2024-08-30
John David Clifton,Tristan Salinas,,,21,5,2024-11-08
Tim Eller,Sayantani Battacharya,,,21,1,2024-08-24
Owen Henderschedt,Kenny Powell,,,21,17,2024-11-20
John Sterling,Tristan Salinas,,,21,17,2024-12-09
Tim Eller,Owen Henderschedt,,,21,1,2024-10-03
Kenny Powell,Tim Eller,,,21,3,2024-11-21
Emma Snyder,John David Clifton,,,21,20,2024-12-04
John David Clifton,Tristan Salinas,,,21,6,2024-11-28
Seth Harward,Sean Grate,,,21,10,2024-09-24
Seth Harward,James Zhong,,,21,14,2024-08-06
Sayantani Battacharya,Daniel Hodgins,,,21,13,2024-09-23
Emma Snyder,Daniel Hodgins,,,21,10,2024-11-14
Emma Snyder,Owen Henderschedt,,,21,3,2024-09-08
Daniel Hodgins,Sayantani Battacharya,John David Clifton,Owen Henderschedt,21,7,2024-08-11
James Zhong,Tim Eller,,,21,10,2024-09-13
Jared DeLeo,Seth Harward,,,21,6,2024-10-22
John Sterling,Jared DeLeo,,,21,0,2024-11-03
Sean Grate,James Zhong,,,21,9,2024-08-20
Tristan Salinas,Sayantani Battacharya,,,21,19,2024-09-23
Kenny Powell,John David Clifton,,,21,11,2024-12-02
James Zhong,Jared DeLeo,John Sterling,Kenny Powell,21,12,2024-12-17
Tim Eller,Owen Henderschedt,,,21,13,2024-12-05
Jared DeLeo,Sean Grate,Sayantani Battacharya,Daniel Hodgins,21,17,2024-12-25
Sayantani Battacharya,John Cobb,,,21,16,2024-09-24
Emma Snyder,John Cobb,,,21,0,2024-11-30
Tristan Salinas,Seth Harward,Tim Eller,Daniel Hodgins,21,9,2024-12-14
Daniel Hodgins,John Cobb,,,21,4,2024-08-10
James Zhong,Tim Eller,John Sterling,Sean Grate,21,13,2024-11-13
James Zhong,Daniel Hodgins,,,21,7,2024-12-15
Sayantani Battacharya,Tristan Salinas,,,21,7,2024-10-30
Owen Henderschedt,James Zhong,,,21,7,2024-09-13
Tim Eller,Kenny Powell,,,21,16,2024-10-29
Emma Snyder,Sean Grate,,,21,8,2024-11-30
Tim Eller,Emma Snyder,,,21,18,2024-09-14
Kenny Powell,Sayantani Battacharya,,,21,5,2024-10-05
John David Clifton,Seth Harward,,,21,5,2024-08-12
John Sterling,Daniel Hodgins,,,21,2,2024-09-04
Daniel Hodgins,Owen Henderschedt,Jared DeLeo,Tristan Salinas,21,5,2024-10-27
John Sterling,Tristan Salinas,James Zhong,Kenny Powell,21,12,2024-08-10
Owen Henderschedt,John David Clifton,,,21,17,2024-09-11
Tristan Salinas,Sean Grate,Owen Henderschedt,Jared DeLeo,21,17,2024-08-17
Tristan Salinas,Seth Harward,,,21,2,2024-12-04
Daniel Hodgins,Seth Harward,,,21,6,2024-08-10
Sean Grate,Tristan Salinas,,,21,16,2024-09-04
Daniel Hodgins,Tim Eller,,,21,2,2024-09-16
Daniel Hodgins,Sayantani Battacharya,,,21,6,2024-11-02
Emma Snyder,Seth Harward,John Sterling,Jared DeLeo,21,11,2024-08-04
Tim Eller,Tristan Salinas,,,21,2,2024-09-06
John Sterling,Daniel Hodgins,,,21,3,2024-09-23
Daniel Hodgins,Jared DeLeo,,,21,20,2024-11-27
John Cobb,James Zhong,,,21,0,2024-09-06
Kenny Powell,Daniel Hodgins,Tim Eller,Jared DeLeo,21,18,2024-12-17
Tristan Salinas,Sean Grate,John Sterling,Daniel Hodgins,21,1,2024-09-21
Tristan Salinas,Daniel Hodgins,,,21,18,2024-08-15
John David Clifton,Kenny Powell,,,21,20,2024-09-27
Emma Snyder,Sean Grate,Owen Henderschedt,Tim Eller,21,8,2024-11-03
John David Clifton,Jared DeLeo,,,21,3,2024-10-09
Tristan Salinas,Sayantani Battacharya,,,21,10,2024-12-07
James Zhong,Daniel Hodgins,John Cobb,Seth Harward,21,12,2024-12-18
Owen Henderschedt,Sean Grate,Sayantani Battacharya,James Zhong,21,15,2024-10-07
Sayantani Battacharya,James Zhong,Emma Snyder,John Cobb,21,10,2024-10-03
Emma Snyder,Kenny Powell,,,21,13,2024-11-28
John Cobb,Sean Grate,,,21,17,2024-09-19
John David Clifton,Kenny Powell,,,21,7,2024-08-16
James Zhong,John Sterling,Emma Snyder,John David Clifton,21,18,2024-08-22
Owen Henderschedt,Daniel Hodgins,,,21,13,2024-10-22
John Sterling,Kenny Powell,,,21,13,2024-12-08
Sean Grate,John Cobb,Emma Snyder,Tristan Salinas,21,2,2024-08-22
Sean Grate,John Sterling,,,21,12,2024-10-23
Seth Harward,Sean Grate,,,21,13,2024-10-07
Kenny Powell,Emma Snyder,,,21,5,2024-08-16
Owen Henderschedt,Daniel Hodgins,,,21,9,2024-11-08
Sean Grate,Kenny Powell,,,21,5,2024-08-18
Tristan Salinas,Daniel Hodgins,John Sterling,Owen Henderschedt,21,14,2024-11-15
Kenny Powell,John Cobb,,,21,11,2024-08-12
Tristan Salinas,Sean Grate,,,21,0,2024-12-17
John Sterling,Seth Harward,,,21,16,2024-08-06
Owen Henderschedt,John David Clifton,Daniel Hodgins,Jared DeLeo,21,9,2024-08-08
Owen Henderschedt,Sayantani Battacharya,,,21,1,2024-09-14
Sean Grate,Daniel Hodgins,,,21,3,2024-11-29
John David Clifton,Owen Henderschedt,,,21,0,2024-08-15
John Cobb,Jared DeLeo,,,21,14,2024-08-26
Seth Harward,John David Clifton,Owen Henderschedt,Daniel Hodgins,21,1,2024-09-20
Tristan Salinas,Seth Harward,,,21,16,2024-08-13
Jared DeLeo,John David Clifton,,,21,0,2024-10-19
Tristan Salinas,Seth Harward,John Sterling,James Zhong,21,1,2024-09-24
Seth Harward,Daniel Hodgins,John Cobb,John David Clifton,21,9,2024-12-14
Sean Grate,Owen Henderschedt,,,21,7,2024-10-25
Emma Snyder,Seth Harward,Tim Eller,Jared DeLeo,21,1,2024-12-13
Tim Eller,Sayantani Battacharya,,,21,13,2024-09-18
Owen Henderschedt,John David Clifton,,,21,7,2024-12-07
Tristan Salinas,Kenny Powell,,,21,7,2024-11-06
James Zhong,Kenny Powell,,,21,18,2024-09-20
Sean Grate,Jared DeLeo,,,21,14,2024-10-01
Jared DeLeo,Sean Grate,,,21,13,2024-10-12
John Cobb,John Sterling,,,21,16,2024-08-04
Tim Eller,John Sterling,Emma Snyder,Daniel Hodgins,21,6,2024-08-13
James Zhong,Jared DeLeo,,,21,19,2024-08-13
James Zhong,Sayantani Battacharya,,,21,6,2024-09-12
Seth Harward,John Sterling,,,21,19,2024-09-04
Daniel Hodgins,Tristan Salinas,,,21,9,2024-08-16
Owen Henderschedt,Tristan Salinas,,,21,4,2024-11-04
Sean Grate,Tim Eller,,,21,3,2024-10-17
Tim Eller,Sayantani Battacharya,Jared DeLeo,Daniel Hodgins,21,10,2024-08-01
Jared DeLeo,Kenny Powell,,,21,16,2024-10-15
Jared DeLeo,Owen Henderschedt,,,21,10,2024-12-29
Tim Eller,Owen Henderschedt,,,21,1,2024-12-11
Daniel Hodgins,Owen Henderschedt,,,21,9,2024-08-05
Kenny Powell,Sean Grate,Jared DeLeo,John Cobb,21,9,2024-12-30
John David Clifton,John Cobb,,,21,4,2024-08-04
Emma Snyder,John Cobb,,,21,12,2024-10-16
John David Clifton,James Zhong,,,21,13,2024-10-14
Tim Eller,James Zhong,John Sterling,Emma Snyder,21,1,2024-08-27
Owen Henderschedt,Jared DeLeo,,,21,5,2024-10-17
Jared DeLeo,Tristan Salinas,,,21,13,2024-08-09
Tristan Salinas,Jared DeLeo,,,21,13,2024-09-21
John David Clifton,Seth Harward,,,21,0,2024-11-18
John Sterling,Seth Harward,,,21,13,2024-12-15
Tristan Salinas,John David Clifton,Seth Harward,Emma Snyder,21,9,2024-08-24
Tim Eller,John Sterling,,,21,14,2024-11-22
Seth Harward,John David Clifton,,,21,18,2024-09-24
Tristan Salinas,Kenny Powell,,,21,10,2024-12-05
James Zhong,Sean Grate,,,21,11,2024-08-28
Daniel Hodgins,Kenny Powell,,,21,19,2024-10-10
Tim Eller,Seth Harward,,,21,12,2024-12-01
John Sterling,Jared DeLeo,,,21,12,2024-08-03
Kenny Powell,Sean Grate,,,21,1,2024-09-02
Seth Harward,Sean Grate,,,21,15,2024-12-21
Sean Grate,Sayantani Battacharya,,,21,17,2024-10-12
Sean Grate,John Cobb,,,21,19,2024-09-15
Tim Eller,John Cobb,,,21,2,2024-11-04
John Sterling,John David Clifton,,,21,15,2024-11-22
John Cobb,Daniel Hodgins,,,21,14,2024-08-06
Sayantani Battacharya,Daniel Hodgins,,,21,7,2024-09-02
Daniel Hodgins,Jared DeLeo,Kenny Powell,Sean Grate,21,17,2024-12-27
Tristan Salinas,Tim Eller,,,21,9,2024-08-20
John Cobb,James Zhong,,,21,7,2024-08-05
Jared DeLeo,John Sterling,Owen Henderschedt,Tim Eller,21,18,2024-08-17
Kenny Powell,John Cobb,,,21,13,2024-09-14
Sean Grate,Emma Snyder,,,21,6,2024-09-22
Owen Henderschedt,James Zhong,,,21,15,2024-10-30
Tim Eller,James Zhong,,,21,19,2024-09-08
Daniel Hodgins,Kenny Powell,,,21,20,2024-12-07
Emma Snyder,James Zhong,,,21,18,2024-08-15
Emma Snyder,John Sterling,,,21,2,2024-11-09
John Cobb,James Zhong,,,21,2,2024-08-12
Sean Grate,Seth Harward,Emma Snyder,Jared DeLeo,21,8,2024-12-20
Kenny Powell,Tristan Salinas,,,21,13,2024-10-30
John David Clifton,Emma Snyder,,,21,6,2024-09-24
James Zhong,John Sterling,,,21,8,2024-08-23
Seth Harward,Sayantani Battacharya,Kenny Powell,Tristan Salinas,21,16,2024-10-29
Owen Henderschedt,John Cobb,James Zhong,Sean Grate,21,17,2024-12-13
Seth Harward,Tristan Salinas,,,21,13,2024-09-12
Sean Grate,Kenny Powell,,,21,5,2024-08-09
Sayantani Battacharya,John David Clifton,,,21,6,2024-08-27
John Sterling,Kenny Powell,,,21,7,2024-11-08
Jared DeLeo,Owen Henderschedt,,,21,11,2024-11-22
James Zhong,Sayantani Battacharya,,,21,16,2024-08-03
Seth Harward,John David Clifton,,,21,5,2024-11-27
Tim Eller,Tristan Salinas,,,21,0,2024-11-07
Kenny Powell,Seth Harward,,,21,18,2024-09-05
Kenny Powell,Jared DeLeo,Sayantani Battacharya,Tim Eller,21,1,2024-08-22
John Sterling,Daniel Hodgins,,,21,8,2024-09-04
Tristan Salinas,Sean Grate,,,21,8,2024-10-03
Jared DeLeo,John Cobb,,,21,13,2024-12-09
John Cobb,Kenny Powell,,,21,0,2024-11-08
John David Clifton,Sayantani Battacharya,Tristan Salinas,Jared DeLeo,21,15,2024-08-10
Daniel Hodgins,John Sterling,,,21,16,2024-09-20
Jared DeLeo,Sayantani Battacharya,,,21,16,2024-12-01
Sayantani Battacharya,James Zhong,,,21,13,2024-11-08
James Zhong,Seth Harward,,,21,16,2024-08-26
Tristan Salinas,Seth Harward,,,21,12,2024-08-18
Seth Harward,Jared DeLeo,,,21,0,2024-11-15
Jared DeLeo,Kenny Powell,John David Clifton,Tim Eller,21,11,2024-11-08
Tim Eller,John Cobb,John David Clifton,Emma Snyder,21,19,2024-08-17
Jared DeLeo,Sayantani Battacharya,,,21,10,2024-10-30
John Sterling,Kenny Powell,Owen Henderschedt,John David Clifton,21,20,2024-11-02
Sean Grate,Owen Henderschedt,,,21,12,2024-11-18
John Sterling,Daniel Hodgins,,,21,15,2024-10-02
John David Clifton,John Cobb,,,21,5,2024-11-04
Jared DeLeo,Kenny Powell,,,21,7,2024-09-02
Seth Harward,Jared DeLeo,Kenny Powell,John Cobb,21,9,2024-12-15
Owen Henderschedt,John David Clifton,Kenny Powell,John Sterling,21,6,2024-11-17
John Sterling,Tim Eller,,,21,20,2024-09-07
Kenny Powell,Emma Snyder,,,21,11,2024-09-06
Seth Harward,Daniel Hodgins,John Sterling,Emma Snyder,21,20,2024-12-05
Kenny Powell,Jared DeLeo,Sayantani Battacharya,Seth Harward,21,11,2024-11-27
Tim Eller,Emma Snyder,Owen Henderschedt,James Zhong,21,15,2024-08-22
Tristan Salinas,Daniel Hodgins,,,21,10,2024-08-09
Emma Snyder,Tristan Salinas,,,21,8,2024-08-12
Jared DeLeo,Owen Henderschedt,,,21,17,2024-09-14
John David Clifton,Seth Harward,,,21,11,2024-10-25
Emma Snyder,John Cobb,Tim Eller,Sean Grate,21,17,2024-09-15
Tim Eller,Seth Harward,John Cobb,Daniel Hodgins,21,6,2024-10-09
Owen Henderschedt,John David Clifton,,,21,2,2024-10-06
Emma Snyder,Daniel Hodgins,,,21,8,2024-11-26
Kenny Powell,Tristan Salinas,,,21,5,2024-10-19
John David Clifton,Emma Snyder,,,21,2,2024-09-21
Seth Harward,John David Clifton,,,21,19,2024-11-09
John Sterling,Seth Harward,Kenny Powell,Sayantani Battacharya,21,4,2024-09-20
Jared DeLeo,James Zhong,,,21,16,2024-11-14
Jared DeLeo,Daniel Hodgins,,,21,1,2024-09-08
John Sterling,Kenny Powell,,,21,1,2024-11-06
Tristan Salinas,Seth Harward,,,21,14,2024-08-20
Tim Eller,Sean Grate,,,21,13,2024-10-05
Jared DeLeo,Tristan Salinas,,,21,14,2024-12-20
Seth Harward,Emma Snyder,,,21,3,2024-12-06
Emma Snyder,John David Clifton,Daniel Hodgins,John Cobb,21,3,2024-11-20
Tim Eller,Sean Grate,,,21,15,2024-09-30
Kenny Powell,Emma Snyder,,,21,6,2024-12-23
Sean Grate,Tristan Salinas,,,21,5,2024-08-01
Seth Harward,John Sterling,,,21,6,2024-10-09
Tristan Salinas,Jared DeLeo,,,21,0,2024-09-20
Tristan Salinas,John David Clifton,Kenny Powell,Owen Henderschedt,21,11,2024-10-25
Daniel Hodgins,Owen Henderschedt,,,21,17,2024-12-25
